"Reference","Value","Qty","Package-Case","Suplier Part Number","URL"
"C1,C2,C7,C8","220pF","4","0603","CL10B221JB8NNNC","https://ozdisan.com/pasif-komponentler/kondansatorler/smt-smd-ve-mlcc-kondansatorler/CL10B221JB8NNNC/14795"
"C3,C9","10uF","2","5x5.3","RC1V106M05005VR","https://ozdisan.com/pasif-komponentler/kapasitorler/aluminyum-kapasitorler/RC1V106M05005VR/370500"
"C4,C10","22uF","2","5x5.4","EEV226M025S9DAA","https://ozdisan.com/pasif-komponentler/kapasitorler/aluminyum-kapasitorler/EEV226M025S9DAA/649812"
"C5,C6","330nF","2","0603","CL10B334KO8NNNC","https://ozdisan.com/pasif-komponentler/kapasitorler/smt-smd-ve-mlcc-kapasitorler/CL10B334KO8NNNC/14512"
"C11","100uF/50V","1","8x10","BXJ50VC100MH10TP","https://ozdisan.com/pasif-komponentler/kapasitorler/aluminyum-kapasitorler/BXJ50VC100MH10TP/468698"
"C12","220uF/35V","1","8x10","SC1V227M08010VR","https://ozdisan.com/pasif-komponentler/kapasitorler/aluminyum-kapasitorler/SC1V227M08010VR/339570"
"C13,C14","0.1uF","2","0603","CL10B104KB8NNNC","https://ozdisan.com/Product/Detail/9739/CL10B104KB8NNNC"
"D1,D6","SS36","2","DO-214AC SMA","SS36-JQ","https://ozdisan.com/guc-yari-iletkenleri/diyotlar-modul-diyotlar-ve-dogrultucular/schottky-diyotlar/SS36-JQ/533246"
"D2,D3,D4,D5","LL4148_R1","4","SOD80","LL4148_R1_10001","https://ozdisan.com/Product/Detail/335455/LL4148R110001"
"D7,D8,D9,D10,D11,D12","RED","6","0805","HL-PSC-2012S9AC","https://ozdisan.com/led-ve-aydinlatma-cozumleri/led-komponentler/sinyal-ledler-tek-renkli/HL-PSC-2012S9AC/471650"
"J2,J3,J4,J5","Relay1","4","THT","DG350-3.5-03P-12-00AH","https://ozdisan.com/konnektor-ve-baglanti-elemanlari/klemensler/pcb-klemensler/DG350-3-5-03P-12-00AH/1202685"
"J6,J7,J8","BTN","3","THT","DG350-3.5-02P-12-00AH","https://ozdisan.com/konnektor-ve-baglanti-elemanlari/klemensler/pcb-klemensler/DG350-3-5-02P-12-00AH/1201453"
"K1,K2,K3,K4","TR5V-L-S-Z/05VDC","4","THT","TR5V-L-S-Z/05VDC","https://ozdisan.com/elektromekanik-komponentler/roleler-ve-role-soketleri/genel-tip-roleler/TR5V-L-S-Z05VDC/40271"
"L1","100uH","1","Non Standard","SRI1207-101M","https://ozdisan.com/pasif-komponentler/induktorler/sabit-induktorler/SRI1207-101M/495429"
"Q1,Q2,Q3,Q4","MMBT3904","4","SOT-23","MMBT3904-HT","https://ozdisan.com/Product/Detail/468189/MMBT3904-HT"
"R1,R2,R4,R11,R12,R14,R22,R23","100K","8","0603","0603SAJ0104T5E","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAF1003T5E/339374\"
"R3,R9,R13,R19","4.7K","4","0603","CQ03SAF4701T5E","https://ozdisan.com/Product/Detail/587953/CQ03SAF4701T5E"
"R5,R6,R8,R15,R16,R18","47K","6","0603","CRT03F7E4702","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/CRT03F7E4702/1054352"
"R7,R17","51K","2","0603","ERJ-3EKF5102V","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/ERJ-3EKF5102V/1046679"
"R10,R20","12K","2","0603","0603SAF1202T5E","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAF1202T5E/353308"
"R21,R25,R27,R29,R31,R32","10K","6","0603","TC0325F1002T5F","https://ozdisan.com/Product/Detail/727909/TC0325F1002T5F"
"R24,R26,R28,R30","220R","4","0603","0603SAF2200T5E","https://ozdisan.com/Product/Detail/341792/0603SAF2200T5E"
"R33,R34,R35,R36,R37,R38","1K","6","0603","CRT03J7E1001","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/CRT03J7E1001/1054377"
"U1,U2","LM324","2","SOIC14","LM324DT","https://ozdisan.com/entegre-devreler-icler/lineer-entegreler/amplifikatorler/LM324DT/340030"
"U3","MS51EC0AE","1","TSSOP28","MS51EC0AE-TR","https://ozdisan.com/entegre-devreler-icler/embedded-entegreler/mikroislemciler/MS51EC0AE-TR"
"U4","LM2596S-5","1","TO-263-5L","LM2596R-5.0-HTC","https://ozdisan.com/entegre-devreler-icler/guc-entegreleri/dc-dc-voltaj-regulatorleri/LM2596R-5-0-HTC/607446"
